id,name,mp_name
3287,Aberavon,"Kinnock, Stephen"
3288,Aberconwy,"Millar, Robin"
14,Aberdeen North,"Blackman, Kirsty"
20,Aberdeen South,"Flynn, Stephen"
3096,West Aberdeenshire and Kincardine,"Bowie, Andrew"
36,Airdrie and Shotts,"Qaisar-Javed, Anum"
3289,Aldershot,"Docherty, Leo"
3290,Aldridge-Brownhills,"Morton, Wendy"
3291,Altrincham and Sale West,"Brady, Sir Graham"
3292,Alyn and Deeside,"Tami, Mark"
3293,Amber Valley,"Mills, Nigel"
59,Angus,"Doogan, Dave"
3459,East Antrim,"Wilson, Sammy"
3634,North Antrim,"Paisley, Ian"
3736,South Antrim,"Girvan, Paul"
3294,Arfon,"Williams, Hywel"
67,Argyll and Bute,"O'Hara, Brendan"
3295,Arundel and South Downs,"Griffith, Andrew"
3296,Ashfield,"Anderson, Lee"
3297,Ashford,"Green, Damian"
3298,Ashton-under-Lyne,"Rayner, Angela"
3299,Aylesbury,"Butler, Rob"
99,"Ayr, Carrick and Cumnock","Dorans, Allan"
614,Central Ayrshire,"Whitford, Dr Philippa"
2104,North Ayrshire and Arran,"Gibson, Patricia"
3300,Banbury,"Prentis, Victoria"
110,Banff and Buchan,"Duguid, David"
3301,Barking,"Hodge, Dame Margaret"
3302,Barnsley Central,"Jarvis, Dan"
3303,Barnsley East,"Peacock, Stephanie"
3304,Barrow and Furness,"Fell, Simon"
3305,Basildon and Billericay,"Baron, Mr John"
3737,South Basildon and East Thurrock,"Metcalfe, Stephen"
3306,Basingstoke,"Miller, Mrs Maria"
3307,Bassetlaw,"Clarke-Smith, Brendan"
3308,Bath,"Hobhouse, Wera"
3309,Batley and Spen,"Leadbeater, Kim"
3310,Battersea,"De Cordova, Marsha"
3311,Beaconsfield,"Morrissey, Joy"
3312,Beckenham,"Stewart, Bob"
3313,Bedford,"Yasin, Mohammad"
3603,Mid Bedfordshire,"Dorries, Ms Nadine"
3640,North East Bedfordshire,"Fuller, Richard"
3754,South West Bedfordshire,"Selous, Andrew"
3314,Belfast East,"Robinson, Gavin"
3315,Belfast North,"Finucane, John"
3316,Belfast South,"Hanna, Claire"
3317,Belfast West,"Maskey, Paul"
3318,Bermondsey and Old Southwark,"Coyle, Neil"
216,"Berwickshire, Roxburgh and Selkirk","Lamont, John"
3319,Berwick-upon-Tweed,"Trevelyan, Anne-Marie"
3320,Bethnal Green and Bow,"Ali, Rushanara"
3321,Beverley and Holderness,"Stuart, Graham"
3322,Bexhill and Battle,"Merriman, Huw"
3323,Bexleyheath and Crayford,"Evennett, Sir David"
3324,Birkenhead,"Whitley, Mick"
3325,"Birmingham, Edgbaston","Gill, Preet Kaur"
3326,"Birmingham, Erdington","Dromey, Jack"
3327,"Birmingham, Hall Green","Ali, Tahir"
3328,"Birmingham, Hodge Hill","Byrne, Liam"
3329,"Birmingham, Ladywood","Mahmood, Shabana"
3330,"Birmingham, Northfield","Sambrook, Gary"
3331,"Birmingham, Perry Barr","Mahmood, Mr Khalid"
3332,"Birmingham, Selly Oak","McCabe, Steve"
3333,"Birmingham, Yardley","Phillips, Jess"
3334,Bishop Auckland,"Davison, Dehenna"
3335,Blackburn,"Hollern, Kate"
3336,Blackley and Broughton,"Stringer, Graham"
3337,Blackpool North and Cleveleys,"Maynard, Paul"
3338,Blackpool South,"Benton, Scott"
3339,Blaenau Gwent,"Smith, Nick"
3340,Blaydon,"Twist, Liz"
3341,Blyth Valley,"Levy, Ian"
3342,Bognor Regis and Littlehampton,"Gibb, Nick"
3343,Bolsover,"Fletcher, Mark"
3344,Bolton North East,"Logan, Mark"
3345,Bolton South East,"Qureshi, Yasmin"
3346,Bolton West,"Green, Chris"
3347,Bootle,"Dowd, Peter"
3348,Boston and Skegness,"Warman, Matt"
3349,Bosworth,"Evans, Dr Luke"
3350,Bournemouth East,"Ellwood, Mr Tobias"
3351,Bournemouth West,"Burns, Conor"
3352,Bracknell,"Sunderland, James"
3353,Bradford East,"Hussain, Imran"
3354,Bradford South,"Cummins, Judith"
