,airtable_id,airtable_name,lookup.id,lookup.nameListAs,lookup.nameDisplayAs,lookup.nameFullTitle,lookup.nameAddressAs,lookup.latestParty.id,lookup.latestParty.name,lookup.latestParty.abbreviation,lookup.latestParty.backgroundColour,lookup.latestParty.foregroundColour,lookup.latestParty.isLordsMainParty,lookup.latestParty.isLordsSpiritualParty,lookup.latestParty.governmentType,lookup.latestParty.isIndependentParty,lookup.gender,lookup.latestHouseMembership.membershipFrom,lookup.latestHouseMembership.membershipFromId,lookup.latestHouseMembership.house,lookup.latestHouseMembership.membershipStartDate,lookup.latestHouseMembership.membershipEndDate,lookup.latestHouseMembership.membershipEndReason,lookup.latestHouseMembership.membershipEndReasonNotes,lookup.latestHouseMembership.membershipEndReasonId,lookup.latestHouseMembership.membershipStatus.statusIsActive,lookup.latestHouseMembership.membershipStatus.statusDescription,lookup.latestHouseMembership.membershipStatus.statusNotes,lookup.latestHouseMembership.membershipStatus.statusId,lookup.latestHouseMembership.membershipStatus.statusStartDate,lookup.thumbnailUrl,lookup.latestHouseMembership.membershipStatus
0,recFRMt52w5KRuA0d,Barbara Keeley,1588,"Keeley, Barbara",Barbara Keeley,Barbara Keeley MP,Barbara Keeley,15,Labour,Lab,ff0000,ffffff,True,False,3,False,F,Worsley and Eccles South,3867,1,2005-05-05T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/1588/Thumbnail,
1,reczJA4Kp2HAXt3kB,Julian Lewis,54,"Lewis, Dr Julian",Dr Julian Lewis,Rt Hon Dr Julian Lewis MP,Dr Lewis,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,New Forest East,3621,1,1997-05-01T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/54/Thumbnail,
2,recTscFcI0VxnRVtx,Michael Fabricant,280,"Fabricant, Michael",Michael Fabricant,Michael Fabricant MP,Michael Fabricant,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Lichfield,3579,1,1992-04-09T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/280/Thumbnail,
3,rec9JEsl87nl7X1Nt,Órfhlaith Begley,4697,"Begley, Órfhlaith",Órfhlaith Begley,Órfhlaith Begley MP,,30,Sinn Féin,SF,99CC00,FFFFFF,False,False,,False,F,West Tyrone,3847,1,2018-05-03T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4697/Thumbnail,
4,recBGrNm2P7leVKId,Aaron Bell,4837,"Bell, Aaron",Aaron Bell,Aaron Bell MP,,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Newcastle-under-Lyme,3628,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4837/Thumbnail,
5,recwnidjRobfVuJ4q,Gregory Campbell,1409,"Campbell, Mr Gregory",Mr Gregory Campbell,Mr Gregory Campbell MP,Mr Campbell,7,Democratic Unionist Party,DUP,80,FFFFFF,False,True,,False,M,East Londonderry,3463,1,2001-06-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/1409/Thumbnail,
6,recWqj1kmflUy9iQ8,Abena Oppong-Asare,4820,"Oppong-Asare, Abena",Abena Oppong-Asare,Abena Oppong-Asare MP,,15,Labour,Lab,ff0000,ffffff,True,False,3,False,F,Erith and Thamesmead,3479,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4820/Thumbnail,
7,recyWUwdVyPEP99zQ,Debbie Abrahams,4212,"Abrahams, Debbie",Debbie Abrahams,Debbie Abrahams MP,Debbie Abrahams,15,Labour,Lab,ff0000,ffffff,True,False,3,False,F,Oldham East and Saddleworth,3670,1,2011-01-13T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4212/Thumbnail,
8,recJ4wGFIS1aGzoOK,Adam Afriyie,1586,"Afriyie, Adam",Adam Afriyie,Adam Afriyie MP,Adam Afriyie,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Windsor,3855,1,2005-05-05T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/1586/Thumbnail,
9,recOMtDM6sH1a0WhV,Jeff Smith,4456,"Smith, Jeff",Jeff Smith,Jeff Smith MP,Jeff Smith,15,Labour,Lab,ff0000,ffffff,True,False,3,False,M,"Manchester, Withington",3598,1,2015-05-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4456/Thumbnail,
10,reczs8nlMz7WVptYF,Alan Brown,4470,"Brown, Alan",Alan Brown,Alan Brown MP,Mr Brown,29,Scottish National Party,SNP,fcf28f,0,False,False,,False,M,Kilmarnock and Loudoun,1624,1,2015-05-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4470/Thumbnail,
11,rec8DbC6b9V8kz6Ne,Alan Campbell,529,"Campbell, Sir Alan",Sir Alan Campbell,Rt Hon Sir Alan Campbell MP,Sir Alan Campbell,15,Labour,Lab,ff0000,ffffff,True,False,3,False,M,Tynemouth,3815,1,1997-05-01T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/529/Thumbnail,
12,recTGiBe1k7dim5HP,Alan Mak,4484,"Mak, Alan",Alan Mak,Alan Mak MP,Alan Mak,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Havant,3522,1,2015-05-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4484/Thumbnail,
13,rec6i4RvkbfTrMVRz,Alberto Costa,4439,"Costa, Alberto",Alberto Costa,Alberto Costa MP,Alberto Costa,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,South Leicestershire,3745,1,2015-05-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4439/Thumbnail,
14,recWVpXQiLkrvsDTW,Alec Shelbrooke,3997,"Shelbrooke, Alec",Alec Shelbrooke,Rt Hon Alec Shelbrooke MP,,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Elmet and Rothwell,3472,1,2010-05-06T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/3997/Thumbnail,
15,recPENRNT1kcM4DDi,Alex Burghart,4613,"Burghart, Alex",Alex Burghart,Alex Burghart MP,Alex Burghart,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Brentwood and Ongar,3361,1,2017-06-08T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4613/Thumbnail,
16,recz0vgywDr7ZLStX,Alex Chalk,4481,"Chalk, Alex",Alex Chalk,Alex Chalk MP,Alex Chalk,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Cheltenham,3406,1,2015-05-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4481/Thumbnail,
17,recqGA9DmoanRTttd,Alex Cunningham,4122,"Cunningham, Alex",Alex Cunningham,Alex Cunningham MP,Alex Cunningham,15,Labour,Lab,ff0000,ffffff,True,False,3,False,M,Stockton North,3775,1,2010-05-06T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4122/Thumbnail,
18,recmbTonvY0LCBJkM,Alex Davies-Jones,4849,"Davies-Jones, Alex",Alex Davies-Jones,Alex Davies-Jones MP,,15,Labour,Lab,ff0000,ffffff,True,False,3,False,F,Pontypridd,3681,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4849/Thumbnail,
19,recB6JbT09RN0Wx0C,Alex Norris,4641,"Norris, Alex",Alex Norris,Alex Norris MP,Alex Norris,15,Labour (Co-op),Lab,ff0000,ffffff,True,False,3,False,M,Nottingham North,3665,1,2017-06-08T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4641/Thumbnail,
20,recdbBpgqF0xHaBrt,Alex Sobel,4658,"Sobel, Alex",Alex Sobel,Alex Sobel MP,Alex Sobel,15,Labour (Co-op),Lab,ff0000,ffffff,True,False,3,False,M,Leeds North West,3568,1,2017-06-08T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4658/Thumbnail,
21,recg9K2loBTYxodde,Alexander Stafford,4866,"Stafford, Alexander",Alexander Stafford,Alexander Stafford MP,,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Rother Valley,3706,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4866/Thumbnail,
22,recnRyPJHMWdd0yM9,Alicia Kearns,4805,"Kearns, Alicia",Alicia Kearns,Alicia Kearns MP,,4,Conservative,Con,0000ff,ffffff,True,True,0,False,F,Rutland and Melton,3712,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4805/Thumbnail,
23,recaglULEMtKlgpfT,Alison McGovern,4083,"McGovern, Alison",Alison McGovern,Alison McGovern MP,Alison McGovern,15,Labour,Lab,ff0000,ffffff,True,False,3,False,F,Wirral South,3856,1,2010-05-06T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4083/Thumbnail,
24,recPGKf7p6pohB7ai,Alison Thewliss,4430,"Thewliss, Alison",Alison Thewliss,Alison Thewliss MP,Alison Thewliss,29,Scottish National Party,SNP,fcf28f,0,False,False,,False,F,Glasgow Central,1203,1,2015-05-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4430/Thumbnail,
25,rec9CNJFcQjYJPUWM,Alister Jack,4619,"Jack, Mr Alister",Mr Alister Jack,Rt Hon Alister Jack MP,Mr Jack,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Dumfries and Galloway,911,1,2017-06-08T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4619/Thumbnail,
26,recjOcdK8mBaCxwX9,Allan Dorans,4740,"Dorans, Allan",Allan Dorans,Allan Dorans MP,,29,Scottish National Party,SNP,fcf28f,0,False,False,,False,M,"Ayr, Carrick and Cumnock",99,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4740/Thumbnail,
27,rec39eDMJXp2ZMv2F,Alok Sharma,4014,"Sharma, Alok",Alok Sharma,Rt Hon Alok Sharma MP,Alok Sharma,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Reading West,3692,1,2010-05-06T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4014/Thumbnail,
28,recWkkjVWcI4wd8T4,Graham Brady,435,"Brady, Sir Graham",Sir Graham Brady,Sir Graham Brady MP,Sir Graham,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Altrincham and Sale West,3291,1,1997-05-01T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/435/Thumbnail,
29,recH8r4acepylYG2k,Alun Cairns,4086,"Cairns, Alun",Alun Cairns,Rt Hon Alun Cairns MP,Alun Cairns,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Vale of Glamorgan,3819,1,2010-05-06T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4086/Thumbnail,
30,recne4O5lBHXWUnJF,Alyn Smith,4738,"Smith, Alyn",Alyn Smith,Alyn Smith MP,,29,Scottish National Party,SNP,fcf28f,0,False,False,,False,M,Stirling,2784,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4738/Thumbnail,
31,recMR8mitrJFUl1NH,Amanda Milling,4454,"Milling, Amanda",Amanda Milling,Rt Hon Amanda Milling MP,Amanda Milling,4,Conservative,Con,0000ff,ffffff,True,True,0,False,F,Cannock Chase,3387,1,2015-05-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4454/Thumbnail,
32,rectwYynndN6ek1ol,Amanda Solloway,4372,"Solloway, Amanda",Amanda Solloway,Amanda Solloway MP,,4,Conservative,Con,0000ff,ffffff,True,True,0,False,F,Derby North,3442,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4372/Thumbnail,
33,recj7vaNpi4hfCr6E,David Amess,44,"Amess, Sir David",Sir David Amess,Sir David Amess,Sir David,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Southend West,3762,1,1983-06-09T00:00:00,2021-10-15T00:00:00,Death,,1,,,,,,https://members-api.parliament.uk/api/Members/44/Thumbnail,
34,recGEE3gFS8uVQT3h,Amy Callaghan,4770,"Callaghan, Amy",Amy Callaghan,Amy Callaghan MP,,29,Scottish National Party,SNP,fcf28f,0,False,False,,False,F,East Dunbartonshire,965,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4770/Thumbnail,
35,recu6VsIBSTLkeoFh,Andrea Jenkyns,4490,"Jenkyns, Andrea",Andrea Jenkyns,Andrea Jenkyns MP,,4,Conservative,Con,0000ff,ffffff,True,True,0,False,F,Morley and Outwood,3619,1,2015-05-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4490/Thumbnail,
36,rec8eLJzt3ZtoQi40,Andrea Leadsom,4117,"Leadsom, Andrea",Andrea Leadsom,Rt Hon Andrea Leadsom MP,,4,Conservative,Con,0000ff,ffffff,True,True,0,False,F,South Northamptonshire,3747,1,2010-05-06T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4117/Thumbnail,
37,recstdKcuzJEg7pc8,Andrew Bowie,4601,"Bowie, Andrew",Andrew Bowie,Andrew Bowie MP,Andrew Bowie,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,West Aberdeenshire and Kincardine,3096,1,2017-06-08T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4601/Thumbnail,
38,recGqZakGbhT6ux7S,Andrew Bridgen,4133,"Bridgen, Andrew",Andrew Bridgen,Andrew Bridgen MP,Andrew Bridgen,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,North West Leicestershire,3657,1,2010-05-06T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4133/Thumbnail,
39,recVIVE63fQaf0HH5,Andrew Jones,3996,"Jones, Andrew",Andrew Jones,Andrew Jones MP,Andrew Jones,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Harrogate and Knaresborough,3516,1,2010-05-06T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/3996/Thumbnail,
40,rec92SMqCMcu1Uorr,Andrew Lewer,4659,"Lewer, Andrew",Andrew Lewer,Andrew Lewer MP,Andrew Lewer,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Northampton South,3661,1,2017-06-08T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4659/Thumbnail,
41,rectigeYBtHdWirkb,Andrew Mitchell,1211,"Mitchell, Mr Andrew",Mr Andrew Mitchell,Rt Hon Andrew Mitchell MP,Mr Mitchell,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Sutton Coldfield,3791,1,2001-06-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/1211/Thumbnail,
42,recqSX0yNwnzj1DgR,Andrew Percy,3939,"Percy, Andrew",Andrew Percy,Andrew Percy MP,Andrew Percy,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Brigg and Goole,3364,1,2010-05-06T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/3939/Thumbnail,
43,recxCjyhjaiBwuPMH,Andrew Rosindell,1447,"Rosindell, Andrew",Andrew Rosindell,Andrew Rosindell MP,Andrew Rosindell,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Romford,3703,1,2001-06-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/1447/Thumbnail,
44,reclwCsRwlp32LJiV,Andrew Selous,1453,"Selous, Andrew",Andrew Selous,Andrew Selous MP,Andrew Selous,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,South West Bedfordshire,3754,1,2001-06-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/1453/Thumbnail,
45,rec7uTR2XM0zQ7Ro1,Andrew Stephenson,4044,"Stephenson, Andrew",Andrew Stephenson,Andrew Stephenson MP,Andrew Stephenson,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Pendle,3675,1,2010-05-06T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4044/Thumbnail,
46,recspqHt73BFRbyyC,Andrew Griffith,4874,"Griffith, Andrew",Andrew Griffith,Andrew Griffith MP,,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Arundel and South Downs,3295,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4874/Thumbnail,
47,recY05jOHIltwQJtX,Andy Carter,4791,"Carter, Andy",Andy Carter,Andy Carter MP,,4,Conservative,Con,0000ff,ffffff,True,True,0,False,M,Warrington South,3830,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4791/Thumbnail,
48,rec4Vsbecsz4QhukM,Andy McDonald,4269,"McDonald, Andy",Andy McDonald,Andy McDonald MP,Andy McDonald,15,Labour,Lab,ff0000,ffffff,True,False,3,False,M,Middlesbrough,3610,1,2012-11-29T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4269/Thumbnail,
49,recTAQsxor5eg5xTm,Angela Crawley,4469,"Crawley, Angela",Angela Crawley,Angela Crawley MP,Angela Crawley,29,Scottish National Party,SNP,fcf28f,0,False,False,,False,F,Lanark and Hamilton East,1678,1,2015-05-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4469/Thumbnail,
50,recEpJatZp3cAXxRl,Angela Rayner,4356,"Rayner, Angela",Angela Rayner,Rt Hon Angela Rayner MP,Angela Rayner,15,Labour,Lab,ff0000,ffffff,True,False,3,False,F,Ashton-under-Lyne,3298,1,2015-05-07T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4356/Thumbnail,
51,rec8hESITsL5Ji39X,Angela Richardson,4840,"Richardson, Angela",Angela Richardson,Angela Richardson MP,,4,Conservative,Con,0000ff,ffffff,True,True,0,False,F,Guildford,3505,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4840/Thumbnail,
52,recgcvGlMSqMUEzBs,Anna McMorrin,4632,"McMorrin, Anna",Anna McMorrin,Anna McMorrin MP,Anna McMorrin,15,Labour,Lab,ff0000,ffffff,True,False,3,False,F,Cardiff North,3390,1,2017-06-08T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4632/Thumbnail,
53,rec2UELS9QdGE9SJ6,Anne McLaughlin,4437,"McLaughlin, Anne",Anne McLaughlin,Anne McLaughlin MP,,29,Scottish National Party,SNP,fcf28f,0,False,False,,False,F,Glasgow North East,1206,1,2019-12-12T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4437/Thumbnail,
54,recVs72q1pt5BwhNi,Anneliese Dodds,4657,"Dodds, Anneliese",Anneliese Dodds,Anneliese Dodds MP,Anneliese Dodds,15,Labour (Co-op),Lab,ff0000,ffffff,True,False,3,False,F,Oxford East,3673,1,2017-06-08T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4657/Thumbnail,
55,recbsPMBh4kBgKfHN,Anne Marie Morris,4249,"Morris, Anne Marie",Anne Marie Morris,Anne Marie Morris MP,Anne Marie Morris,4,Conservative,Con,0000ff,ffffff,True,True,0,False,F,Newton Abbot,3632,1,2010-05-06T00:00:00,,,,,True,Current Member,,0,2019-12-12T00:00:00,https://members-api.parliament.uk/api/Members/4249/Thumbnail,
